ID_Estudiante,Facultad,Carrera,Edad,Genero,Ciclo_Actual,Promedio_Ponderado,Creditos_Aprobados,Cursos_Desaprobados,Asistencia_Porcentaje,Ranking_Facultad,Modalidad_Ingreso,Ingreso_Familiar_Mensual,Distrito_Residencia,Tiempo_Transporte_Minutos,Tiene_Internet,Tiene_Computadora,Trabaja,Vive_Con_Padres,Nivel_Estres,Satisfaccion_Carrera,Participacion_Actividades,Horas_Estudio_Diarias,Uso_Biblioteca,Uso_Tutorias,Actividades_Extracurriculares,Probabilidad_Desercion
UNI000025,FIEECS,Ciencias Sociales,21,M,2,10.64,154,2,72.66,96,IEN,2348.45,Breña,58.0,1,1,0,1,1,2,2,4.6,0,1,0,0.3
UNI000026,FIEE,Ingeniería Eléctrica,22,M,3,11.28,27,5,79.7,52,Ordinario,3779.87,Jesús María,47.0,1,0,1,1,1,1,3,3.9,1,0,3,0.35
UNI000027,FAU,Arquitectura,27,M,10,13.04,209,2,86.59,38,Ordinario,2861.84,San Martín de Porres,49.0,1,1,0,1,2,2,0,2.7,0,1,0,0.2
UNI000028,FIM,Ingeniería Mecánica,24,M,9,10.7,79,2,88.54,6,Ordinario,2382.49,Jesús María,53.0,1,1,1,0,1,1,0,5.2,1,0,3,0.3
UNI000029,FIAU,Ingeniería de Recursos Naturales,18,M,9,9.84,179,3,84.13,8,Dos Primeros,2803.55,Jesús María,37.0,1,1,0,1,2,1,4,6.5,1,0,3,0.25
UNI000030,FIQT,Ingeniería Química,17,M,10,12.02,15,5,83.1,17,Ordinario,3168.27,La Victoria,74.0,1,1,1,0,3,4,1,2.4,0,1,2,0.35
UNI000031,FIEECS,Ciencias Sociales,29,F,2,10.61,76,5,92.33,76,Ordinario,2697.4,Jesús María,59.0,1,1,0,1,4,1,1,5.4,1,1,2,0.25
UNI000032,FIM,Ingeniería Mecatrónica,18,M,3,13.32,185,2,83.99,62,IEN,2208.21,Breña,54.0,1,1,0,1,5,2,3,3.5,1,0,1,0.2
UNI000033,FIIS,Ingeniería Industrial,27,M,4,15.1,136,1,80.53,86,Dos Primeros,3392.95,Breña,38.0,1,1,0,1,3,3,5,3.7,0,0,1,0.1
UNI000034,FIM,Ingeniería Mecánica,24,M,9,17.7,25,0,77.38,78,Ordinario,3559.78,Independencia,37.0,1,1,1,1,1,4,5,4.3,0,1,2,0.1
UNI000035,FIAU,Ingeniería de Recursos Naturales,27,F,3,13.18,27,1,67.32,34,Dos Primeros,3146.02,Callao,99.0,1,1,0,1,4,3,2,2.8,0,0,1,0.2
UNI000036,FIIS,Ingeniería de Sistemas,22,F,7,13.79,104,1,91.5,19,IEN,1382.45,Breña,47.0,1,1,0,1,5,5,3,4.0,1,0,0,0.3
UNI000037,FIEECS,Ingeniería Económica,24,M,3,11.3,76,1,99.64,70,Ordinario,2415.41,Breña,72.0,1,1,0,1,5,3,5,2.4,1,0,0,0.2
UNI000038,FIAU,Ingeniería de Recursos Naturales,28,F,7,11.43,163,2,76.73,82,Dos Primeros,2155.91,Cercado de Lima,63.0,1,1,1,1,1,5,0,4.5,1,0,0,0.3
UNI000039,FIC,Ingeniería Civil,17,F,7,15.07,8,2,72.3,100,Ordinario,4731.1,Ate,15.0,1,1,0,0,5,5,4,6.2,1,0,0,0.4
UNI000040,FIQT,Ingeniería Química,20,M,9,11.95,174,1,78.77,37,Ordinario,3117.89,Independencia,96.0,1,1,0,0,5,4,1,3.4,1,0,0,0.4
UNI000041,FIEECS,Ingeniería Económica,28,M,2,12.65,205,1,87.91,38,Ordinario,2719.77,Breña,74.0,1,1,1,1,3,3,2,3.8,0,0,3,0.1
UNI000042,FIC,Ingeniería Civil,19,M,6,14.95,50,1,79.95,15,Ordinario,2441.28,Santa Anita,45.0,1,1,1,1,3,1,1,3.9,1,0,0,0.3
UNI000043,FAU,Urbanismo,17,M,9,11.96,75,2,79.77,40,Ordinario,2875.14,Breña,59.0,0,1,1,1,5,4,0,5.0,0,0,1,0.2
UNI000044,FIEECS,Estadística,24,F,2,15.5,121,2,84.17,9,Dos Primeros,3751.53,Callao,37.0,0,1,1,1,2,4,2,4.4,0,1,2,0.1
UNI000045,FAU,Artes,24,M,2,13.65,184,1,86.01,53,Ordinario,1170.1,Callao,97.0,1,1,0,0,1,1,0,4.9,1,0,2,0.4
UNI000046,FIIS,Ingeniería de Sistemas,21,F,5,13.41,31,3,88.68,70,Ordinario,3230.17,Independencia,42.0,1,1,0,1,2,3,1,3.5,1,0,1,0.0
UNI000047,FIC,Ingeniería Civil,26,M,10,11.2,194,2,82.05,66,Ordinario,2495.4,Independencia,50.0,1,1,0,0,2,4,1,4.4,1,1,1,0.1
UNI000048,FIQT,Ingeniería Textil,21,M,10,13.52,56,1,81.87,80,Dos Primeros,3430.67,Jesús María,45.0,1,0,1,0,5,5,0,0.6,0,1,1,0.4
UNI000049,FIAU,Ingeniería Ambiental,23,M,10,11.64,53,1,65.78,52,Ordinario,3799.1,Cercado de Lima,62.0,1,0,1,1,1,1,2,4.7,1,0,2,0.3
UNI000050,FIP,Ingeniería Petroquímica,21,M,8,13.44,115,1,94.36,1,Ordinario,2304.48,Los Olivos,87.0,0,1,1,1,2,2,0,2.8,1,0,1,0.2
UNI000051,FIM,Ingeniería Mecánica,16,F,9,12.3,143,3,87.52,30,Ordinario,1630.8,Santa Anita,96.0,1,1,0,1,3,4,2,3.7,1,0,1,0.1
UNI000052,FIEE,Ingeniería Electrónica,19,F,2,14.43,61,1,100.0,97,Dos Primeros,2695.6,San Miguel,52.0,1,1,0,1,3,5,3,4.7,1,1,3,0.1
UNI000053,FIQT,Ingeniería Textil,28,M,5,12.44,83,5,90.11,1,Ordinario,4287.07,San Martín de Porres,68.0,1,1,0,1,1,3,3,2.5,0,0,3,0.15
UNI000054,FIC,Ingeniería Civil,22,M,7,16.58,55,1,84.26,39,Dos Primeros,3835.66,La Victoria,62.0,1,1,0,1,2,3,2,5.1,1,0,3,0.0
UNI000055,FIP,Ingeniería Petroquímica,28,M,6,11.95,22,3,70.14,16,Ordinario,2622.38,La Victoria,40.0,0,1,0,1,4,1,0,3.9,1,0,2,0.1
UNI000056,FIQT,Ingeniería Química,28,M,6,11.43,16,5,68.66,17,Ordinario,2365.16,Rímac,108.0,1,1,1,1,4,5,2,5.5,1,1,1,0.45
UNI000057,FIC,Ingeniería Civil,17,M,7,13.19,207,1,95.48,82,Ordinario,2440.65,San Miguel,87.0,1,1,0,1,1,1,1,3.1,0,0,0,0.3
UNI000058,FC,Matemática,24,M,3,14.66,165,0,90.62,22,IEN,1702.37,San Miguel,64.0,0,1,0,1,1,4,0,2.2,0,0,2,0.0
UNI000059,FC,Matemática,23,M,3,14.64,199,3,99.65,86,Ordinario,3784.77,San Miguel,92.0,1,1,0,1,4,1,5,4.0,1,1,3,0.3
UNI000060,FAU,Arquitectura,23,F,10,12.83,210,2,94.31,99,Ordinario,3967.42,San Miguel,84.0,1,0,1,1,2,2,2,4.6,0,0,3,0.3
UNI000061,FIQT,Ingeniería Química,22,M,9,13.18,157,0,81.29,31,Ordinario,2612.86,Callao,62.0,1,1,0,1,2,1,1,4.7,0,0,2,0.1
UNI000062,FC,Matemática,19,M,8,13.18,185,0,62.0,40,Ordinario,2499.32,Cercado de Lima,67.0,1,1,1,1,5,1,4,2.9,0,0,2,0.4
UNI000063,FIC,Ingeniería Civil,17,M,5,10.34,77,2,91.05,27,Ordinario,2301.73,Breña,90.0,1,1,0,1,1,4,1,2.4,0,0,1,0.15
UNI000064,FAU,Artes,18,M,6,14.55,21,1,74.84,36,Dos Primeros,2549.63,Los Olivos,41.0,1,1,0,1,2,5,5,3.7,0,0,2,0.0
UNI000065,FIC,Ingeniería Civil,27,M,10,9.98,107,2,83.16,4,Ordinario,2264.83,Cercado de Lima,93.0,0,1,0,1,4,2,2,4.5,0,0,0,0.45
UNI000066,FAU,Urbanismo,21,F,1,10.35,16,2,89.12,69,Ordinario,2844.8,San Martín de Porres,55.0,1,1,1,0,4,1,0,4.5,1,1,0,0.55
UNI000067,FIQT,Ingeniería Textil,27,F,10,12.61,14,2,78.69,25,Ordinario,3786.4,Santa Anita,90.0,1,0,0,1,3,4,0,5.6,0,1,2,0.0
UNI000068,FIP,Ingeniería Petroquímica,27,M,1,11.86,113,3,76.75,95,Ordinario,3683.36,Rímac,60.0,1,1,1,1,2,4,3,3.6,1,0,0,0.3
UNI000069,FIAU,Ingeniería de Recursos Naturales,20,M,4,14.09,47,2,81.93,78,Ordinario,2161.31,Cercado de Lima,67.0,1,1,0,0,5,4,5,2.2,1,0,1,0.2
UNI000070,FIEECS,Estadística,27,M,2,13.39,159,1,64.54,30,Ordinario,3151.81,San Martín de Porres,59.0,1,0,0,1,5,5,2,5.2,1,1,2,0.2
UNI000071,FIP,Ingeniería Petroquímica,23,F,7,12.78,204,2,74.66,47,IEN,3646.15,Santa Anita,49.0,1,1,0,1,1,1,1,4.2,0,1,0,0.2
UNI000072,FIIS,Ingeniería Industrial,21,M,2,10.25,212,2,74.52,12,Ordinario,2060.21,San Martín de Porres,55.0,1,1,0,0,3,3,1,4.3,1,0,3,0.25
UNI000073,FIC,Ingeniería Civil,21,M,10,12.55,112,2,82.64,27,Dos Primeros,3141.42,Jesús María,88.0,1,0,0,0,4,2,5,4.8,1,0,1,0.2
UNI000074,FIIS,Ingeniería Industrial,16,M,2,12.39,167,4,75.53,45,Ordinario,4213.65,Los Olivos,15.0,1,1,0,1,4,3,2,5.3,0,1,2,0.15
UNI000075,FIP,Ingeniería de Petróleo,19,M,5,12.94,96,4,79.84,88,Ordinario,2755.11,San Martín de Porres,35.0,1,1,1,1,1,5,1,4.0,1,0,2,0.35
UNI000076,FAU,Artes,20,M,4,11.64,184,0,80.55,63,Dos Primeros,982.1,Callao,45.0,1,1,0,0,5,1,4,5.2,0,0,2,0.4
UNI000077,FIEECS,Ciencias Sociales,27,F,8,13.55,185,3,100.0,55,Dos Primeros,930.0,Ate,38.0,1,0,0,1,5,3,5,4.6,0,1,3,0.2
UNI000078,FIEECS,Ingeniería Económica,26,M,4,11.81,90,1,92.7,30,Ordinario,3310.81,Callao,90.0,1,1,0,1,4,3,3,3.3,1,0,0,0.1
UNI000079,FIEE,Ingeniería de Telecomunicaciones,18,M,6,13.36,15,3,83.8,82,Ordinario,3106.52,San Martín de Porres,85.0,0,1,0,1,1,3,0,3.8,0,0,2,0.1
UNI000080,FIEECS,Estadística,28,M,5,14.09,155,3,89.49,14,Ordinario,3187.73,Cercado de Lima,72.0,1,1,0,1,2,2,1,4.6,1,0,0,0.2
UNI000081,FIAU,Ingeniería de Recursos Naturales,24,F,2,11.43,97,2,94.21,56,Ordinario,3489.29,Jesús María,47.0,1,1,1,0,3,1,4,3.3,1,1,1,0.3
UNI000082,FIEECS,Estadística,16,F,8,10.96,110,2,87.88,19,Ordinario,1520.55,San Martín de Porres,87.0,1,1,0,1,5,4,2,4.9,0,1,3,0.1
UNI000083,FIP,Ingeniería de Petróleo,21,M,2,13.45,0,1,74.66,86,Dos Primeros,2193.19,Cercado de Lima,28.0,0,0,1,1,5,1,1,4.2,0,0,3,0.4
UNI000084,FIEE,Ingeniería de Telecomunicaciones,21,F,9,9.86,40,2,83.63,26,Ordinario,3423.06,Santa Anita,103.0,1,1,0,1,5,3,5,4.4,1,0,1,0.35
UNI000085,FIP,Ingeniería Petroquímica,25,M,9,14.72,47,0,75.24,71,Ordinario,3735.86,Breña,46.0,1,1,0,1,2,1,2,5.4,1,0,1,0.1
UNI000086,FIP,Ingeniería Petroquímica,20,M,3,12.52,158,1,81.71,92,Ordinario,2743.11,Ate,55.0,1,1,0,0,2,4,4,4.4,1,1,2,0.2
UNI000087,FIM,Ingeniería Mecánica,27,M,4,12.27,163,2,83.41,38,Ordinario,1567.72,Santa Anita,51.0,0,1,0,0,3,2,4,4.1,1,0,1,0.2
UNI000088,FIEE,Ingeniería de Telecomunicaciones,20,M,8,13.59,107,1,95.53,69,Ordinario,3339.96,San Martín de Porres,39.0,0,1,0,0,5,1,0,3.9,1,0,3,0.3
UNI000089,FIP,Ingeniería Petroquímica,25,M,9,13.47,160,2,77.06,36,Ordinario,3051.13,San Miguel,99.0,1,1,0,0,4,1,2,3.9,1,0,0,0.4
UNI000090,FIM,Ingeniería Mecatrónica,29,M,3,12.51,160,2,76.26,18,Dos Primeros,1941.75,Rímac,76.0,1,0,1,1,5,2,3,4.3,0,0,0,0.4
UNI000091,FIM,Ingeniería Mecánica,28,M,5,14.26,102,1,77.83,57,Ordinario,1016.37,San Juan de Lurigancho,84.0,0,1,1,1,3,2,0,5.4,1,1,0,0.4
UNI000092,FIEE,Ingeniería de Telecomunicaciones,20,F,8,11.16,127,0,78.91,78,Dos Primeros,3571.25,San Miguel,36.0,1,1,0,1,3,3,2,3.4,1,0,0,0.1
UNI000093,FIIS,Ingeniería de Sistemas,21,M,3,13.92,209,2,81.82,23,Ordinario,2382.55,Breña,64.0,1,1,1,0,4,3,2,3.3,1,1,0,0.3
UNI000094,FAU,Artes,23,M,7,10.34,150,3,88.29,14,Traslado Externo,3186.7,Ate,70.0,1,0,0,0,2,2,4,5.3,0,0,0,0.45
UNI000095,FIAU,Ingeniería de Recursos Naturales,17,M,8,13.52,187,3,77.15,96,Traslado Externo,3149.56,Santa Anita,65.0,1,0,0,1,4,4,5,3.4,1,0,3,0.1
UNI000096,FAU,Urbanismo,21,F,10,11.84,214,1,86.15,69,Dos Primeros,1853.07,Ate,37.0,1,1,1,1,3,3,4,4.2,1,1,1,0.1
UNI000097,FIEECS,Ingeniería Económica,16,M,3,9.88,206,2,86.27,22,Dos Primeros,3417.86,Los Olivos,82.0,1,1,0,1,4,4,2,3.4,0,0,3,0.15
UNI000098,FIAU,Ingeniería de Recursos Naturales,19,M,2,13.01,217,3,90.54,28,Ordinario,2140.21,Jesús María,62.0,0,1,1,1,5,2,5,2.3,1,0,2,0.3
UNI000099,FIEECS,Ingeniería Económica,29,F,10,12.43,29,1,82.89,43,Dos Primeros,1504.62,Breña,41.0,0,1,0,1,3,1,5,4.2,1,1,0,0.2
UNI000100,FIP,Ingeniería de Petróleo,25,M,7,9.41,216,2,93.32,76,IEN,1376.52,Jesús María,23.0,0,1,0,0,2,2,4,5.1,1,0,1,0.45
UNI000101,FIC,Ingeniería Civil,18,M,9,8.27,44,1,88.69,18,Ordinario,2996.76,Callao,72.0,1,1,0,1,2,2,2,3.9,1,0,1,0.25
UNI000102,FIEE,Ingeniería Electrónica,24,F,1,12.2,79,4,88.24,100,Ordinario,4594.1,Santa Anita,109.0,1,1,1,1,4,5,2,2.5,0,0,0,0.55
UNI000103,FIAU,Ingeniería Ambiental,18,M,3,15.74,38,2,79.49,95,Ordinario,3041.02,San Martín de Porres,40.0,1,1,0,1,4,2,5,4.1,1,1,1,0.2
UNI000104,FIAU,Ingeniería de Recursos Naturales,21,M,5,13.14,44,5,87.75,77,Ordinario,4783.16,Santa Anita,63.0,1,0,0,1,4,3,0,3.2,1,0,0,0.25
UNI000105,FIP,Ingeniería Petroquímica,16,M,3,11.16,77,2,88.52,84,Ordinario,4448.82,San Miguel,82.0,1,1,0,1,5,1,0,1.4,1,0,2,0.4
UNI000106,FIIS,Ingeniería de Sistemas,27,M,1,14.66,80,4,79.02,36,Ordinario,3516.29,Jesús María,35.0,1,1,0,1,2,4,3,3.9,0,1,0,0.25
UNI000107,FIM,Ingeniería Mecatrónica,21,M,7,14.31,139,3,96.94,7,Ordinario,4574.49,Breña,50.0,0,1,0,1,3,5,0,4.5,1,0,2,0.0
UNI000108,FIP,Ingeniería Petroquímica,19,M,7,15.04,92,0,100.0,23,IEN,4461.37,Rímac,43.0,1,1,1,1,3,3,1,5.2,1,0,1,0.1
UNI000109,FC,Química,23,M,10,13.87,31,3,78.43,34,Ordinario,4178.7,San Martín de Porres,80.0,1,1,1,0,2,1,1,5.8,0,0,3,0.3
UNI000110,FIM,Ingeniería Mecatrónica,28,M,8,14.27,183,1,80.3,96,Dos Primeros,1115.67,Breña,87.0,1,1,1,0,4,4,4,4.7,0,1,1,0.4
UNI000111,FIEE,Ingeniería Eléctrica,26,F,5,13.96,23,3,80.55,21,Ordinario,2763.26,La Victoria,63.0,1,1,1,1,1,1,5,4.9,1,1,3,0.2
UNI000112,FIM,Ingeniería Mecánica,24,M,10,11.54,115,2,71.9,70,Ordinario,2306.3,San Miguel,43.0,1,1,1,1,4,3,1,2.7,1,0,0,0.2
UNI000113,FIIS,Ingeniería de Sistemas,19,M,5,9.23,12,1,76.24,80,Ordinario,4171.13,Jesús María,51.0,1,1,1,1,2,1,0,5.6,0,0,1,0.35
UNI000114,FIM,Ingeniería Mecatrónica,25,F,5,11.46,147,0,93.57,99,Ordinario,2692.75,Independencia,47.0,1,1,0,0,5,2,5,5.3,1,0,1,0.4
UNI000115,FIEE,Ingeniería Electrónica,27,M,1,14.71,78,1,84.18,47,Ordinario,4752.31,Callao,40.0,1,1,0,0,4,1,3,3.6,0,0,2,0.2
UNI000116,FIIS,Ingeniería de Sistemas,25,M,10,11.74,55,1,100.0,53,Ordinario,3101.56,San Martín de Porres,58.0,1,1,1,1,3,2,2,4.7,1,0,0,0.3
UNI000117,FAU,Urbanismo,21,F,5,12.21,52,4,82.11,84,Ordinario,2972.05,San Martín de Porres,71.0,1,1,0,1,5,3,3,4.6,0,0,3,0.35
UNI000118,FIAU,Ingeniería Ambiental,16,M,6,10.17,67,1,89.16,41,Ordinario,2621.35,San Miguel,70.0,0,1,1,1,2,5,0,5.5,0,1,0,0.35
UNI000119,FIAU,Ingeniería de Recursos Naturales,19,M,1,11.4,181,2,75.96,75,Ordinario,2815.39,Los Olivos,60.0,1,1,0,1,1,2,0,3.8,1,0,2,0.1
UNI000120,FIEECS,Ingeniería Económica,22,F,7,12.48,33,3,83.9,32,Ordinario,3268.74,Santa Anita,61.0,1,1,1,1,4,1,0,3.3,1,1,2,0.2
UNI000121,FAU,Artes,27,M,1,13.49,27,3,85.88,14,Ordinario,2933.92,Independencia,58.0,1,1,0,1,5,1,4,3.5,1,0,2,0.2
UNI000122,FAU,Urbanismo,16,M,2,11.58,49,1,63.96,88,Ordinario,2535.13,Ate,34.0,1,1,0,0,5,1,1,4.9,0,0,0,0.6
UNI000123,FIM,Ingeniería Mecánica,23,M,2,11.44,129,2,76.75,95,Ordinario,2594.37,Breña,63.0,1,1,0,0,3,3,0,2.1,1,0,2,0.2
UNI000124,FIAU,Ingeniería de Recursos Naturales,27,M,5,14.18,110,4,91.36,17,Ordinario,4821.02,San Martín de Porres,48.0,1,1,0,1,4,4,2,1.0,0,1,0,0.35
UNI000125,FIEE,Ingeniería Eléctrica,25,M,10,13.15,93,5,90.83,25,Ordinario,4997.51,Santa Anita,33.0,0,1,1,0,1,1,1,4.9,0,1,2,0.45
UNI000126,FIQT,Ingeniería Química,27,F,7,13.4,153,1,72.52,64,Ordinario,2529.2,San Juan de Lurigancho,67.0,1,1,0,1,5,1,1,4.3,0,0,1,0.2
UNI000127,FIQT,Ingeniería Textil,26,M,1,15.56,178,2,81.39,73,Ordinario,3848.97,San Juan de Lurigancho,48.0,1,1,1,1,3,2,4,4.0,0,0,3,0.2
UNI000128,FIIS,Ingeniería Industrial,21,F,10,11.49,46,3,61.3,86,Ordinario,2172.19,Ate,65.0,1,1,0,0,4,5,3,2.7,1,1,0,0.4
UNI000129,FIAU,Ingeniería Ambiental,20,M,1,12.4,25,2,84.97,48,Ordinario,2673.17,Cercado de Lima,77.0,0,0,1,1,4,1,5,2.3,0,1,3,0.2
UNI000130,FIAU,Ingeniería Ambiental,25,F,1,13.6,83,2,97.6,35,Ordinario,1912.49,Jesús María,41.0,1,0,0,1,1,3,1,3.4,1,1,0,0.1
UNI000131,FIQT,Ingeniería Química,26,F,6,10.76,105,3,98.04,37,Ordinario,4019.83,Independencia,62.0,1,0,0,1,3,4,1,4.4,1,0,0,0.1
UNI000132,FIAU,Ingeniería Ambiental,29,M,2,12.96,91,2,97.68,55,IEN,3484.52,San Juan de Lurigancho,24.0,0,0,0,1,1,4,0,3.4,0,1,1,0.0
UNI000133,FIM,Ingeniería Mecánica,24,M,1,12.54,119,0,90.27,17,Dos Primeros,3675.45,Rímac,91.0,1,1,1,0,5,4,2,4.9,1,0,1,0.4
UNI000134,FC,Matemática,17,M,6,18.05,211,4,96.58,28,Ordinario,3888.26,Ate,33.0,1,1,0,1,2,3,0,3.0,0,0,0,0.25
UNI000135,FIC,Ingeniería Civil,20,M,2,12.7,74,1,83.11,1,IEN,2130.39,San Miguel,50.0,1,0,0,0,2,4,2,3.5,1,0,2,0.1
UNI000136,FAU,Artes,21,F,6,14.81,121,0,79.78,53,Ordinario,2675.58,San Miguel,87.0,1,1,0,1,1,4,1,4.7,1,0,0,0.1
UNI000137,FIEECS,Estadística,22,F,10,14.16,201,3,96.41,73,Ordinario,3445.23,La Victoria,55.0,1,1,0,1,1,2,2,3.6,1,0,0,0.2
UNI000138,FIIS,Ingeniería de Sistemas,20,M,8,10.19,188,3,87.88,55,Traslado Externo,2654.43,Rímac,36.0,1,1,1,1,2,4,0,3.7,1,0,1,0.25
UNI000139,FC,Matemática,24,M,2,9.4,150,2,67.05,61,Dos Primeros,3069.43,Independencia,74.0,1,1,0,1,5,2,0,3.4,0,0,1,0.45
UNI000140,FIQT,Ingeniería Química,16,M,9,12.99,164,3,97.17,13,Ordinario,2200.28,San Juan de Lurigancho,74.0,1,1,0,1,1,2,3,3.2,0,1,3,0.1
UNI000141,FAU,Urbanismo,22,M,8,15.01,40,1,82.8,47,Ordinario,4329.73,Cercado de Lima,47.0,1,1,1,1,5,2,4,4.4,1,1,3,0.3
UNI000142,FIAU,Ingeniería Ambiental,25,M,10,13.08,51,1,78.33,64,Ordinario,3938.53,Independencia,50.0,1,1,0,1,5,3,3,4.5,0,0,2,0.1
UNI000143,FIEECS,Estadística,22,F,1,12.66,210,2,94.79,32,Ordinario,4237.08,Jesús María,51.0,1,1,1,0,3,1,1,4.2,1,0,3,0.3
UNI000144,FIAU,Ingeniería Ambiental,19,F,7,11.93,81,3,93.44,28,Ordinario,3659.12,Los Olivos,56.0,1,1,0,1,5,5,2,3.4,1,0,3,0.1
UNI000145,FIEE,Ingeniería de Telecomunicaciones,24,M,10,9.85,176,4,75.43,53,Ordinario,1906.12,Independencia,22.0,1,1,1,0,4,4,0,3.8,0,0,3,0.5
UNI000146,FIEE,Ingeniería Electrónica,29,M,6,10.58,154,2,83.43,31,IEN,2520.47,San Miguel,56.0,1,1,0,0,2,5,0,5.6,0,0,2,0.1
UNI000147,FIEECS,Ingeniería Económica,27,M,6,9.26,133,4,75.92,8,Ordinario,2298.27,La Victoria,96.0,1,1,1,1,2,1,0,2.6,0,0,0,0.7
